"도착지전철역","역간소요분","외부코드","전철명명(영문)","전철역명","전철역코드","출발지전철역","호선"
"압구정로데오","3","K211","Seoul-forest","서울숲","1847","서울숲","수인분당선"
"강남구청","3","K212","Apgujeongrodeo","압구정로데오","1848","압구정로데오","수인분당선"
"선정릉","2","K213","Gangnam-gu Office","강남구청","1849","강남구청","수인분당선"
"선릉","2","K214","Seonjeongneung","선정릉","1850","선정릉","수인분당선"
"한티","2","K215","Seolleung","선릉","1023","선릉","수인분당선"
"도곡","2","K216","Hanti","한티","1024","한티","수인분당선"
"구룡","2","K217","Dogok","도곡","1025","도곡","수인분당선"
"개포동","2","K218","Guryong","구룡","1026","구룡","수인분당선"
"수서","6","K219","Gaepo-dong","개포동","1027","개포동","수인분당선"
"복정","4","K221","Suseo","수서","1030","수서","수인분당선"
"가천대","3","K222","Bokjeong","복정","1031","복정","수인분당선"
"태평","2","K223","Gachon Univ.","가천대","1851","가천대","수인분당선"
"모란","2","K224","Taepyeong","태평","1852","태평","수인분당선"
"야탑","3","K225","Moran","모란","1853","모란","수인분당선"
"이매","3","K226","Yatap","야탑","1854","야탑","수인분당선"
"서현","2","K227","Imae","이매","1860","이매","수인분당선"
"수내","2","K228","Seohyeon","서현","1855","서현","수인분당선"
"정자","3","K229","Sunae","수내","1856","수내","수인분당선"
"미금","3","K230","Jeongja","정자","1857","정자","수인분당선"
"오리","2","K231","Migeum","미금","1858","미금","수인분당선"
"죽전","4","K232","Ori","오리","1859","오리","수인분당선"
"보정","3","K233","Jukjeon","죽전","1862","죽전","수인분당선"
"구성","3","K234","Bojeong","보정","1861","보정","수인분당선"
"신갈","3","K235","Guseong","구성","1863","구성","수인분당선"
"기흥","3","K236","Singal","신갈","1864","신갈","수인분당선"
"상갈","3","K237","Giheung","기흥","1865","기흥","수인분당선"
"청명","3","K238","Sanggal","상갈","1866","상갈","수인분당선"
"영통","2","K239","Cheongmyeong","청명","1867","청명","수인분당선"
"망포","3","K240","Yeongtong","영통","1868","영통","수인분당선"
"매탄권선","3","K241","Mangpo","망포","1869","망포","수인분당선"
