출발지전철역,도착지전철역,역간소요분
을지로3가,충무로,2
충무로,동대입구,2
동대입구,약수,2
약수,금호,2
금호,옥수,2
옥수,압구정,3
압구정,신사,3
신사,잠원,2
잠원,고속터미널,2
고속터미널,교대,3
교대,남부터미널,2
남부터미널,양재,3
양재,매봉,3
매봉,도곡,2
도곡,대치,2
대치,학여울,2
학여울,대청,2
대청,일원,2
일원,수서,3
수서,가락시장,2
가락시장,경찰병원,2
경찰병원,오금,2
계양,귤현,3
귤현,박촌,3
박촌,임학,2
임학,계산,2
계산,경인교대입구,3
경인교대입구,작전,2
작전,갈산,2
갈산,부평구청,2
부평구청,부평시장,2
부평시장,부평,2
부평,동수,2
동수,부평삼거리,2
부평삼거리,간석오거리,2
간석오거리,인천시청,3
인천시청,예술회관,2
예술회관,인천터미널,2
인천터미널,문학경기장,2
문학경기장,선학,2
선학,신연수,2
신연수,원인재,2
원인재,동춘,2
동춘,동막,2
동막,캠퍼스타운,3
캠퍼스타운,테크노파크,2
테크노파크,지식정보단지,3
지식정보단지,인천대입구,2
인천대입구,센트럴파크,2
센트럴파크,국제업무지구,1
국제업무지구,송도달빛축제공원,2
시청,을지로입구,2
을지로입구,을지로3가,2
을지로3가,을지로4가,2
을지로4가,동대문역사문화공원,2
동대문역사문화공원,신당,2
신당,상왕십리,2
상왕십리,왕십리,2
왕십리,한양대,2
한양대,뚝섬,2
뚝섬,성수,2
성수,용답,4
용답,신답,2
신답,신설동,4
성수,건대입구,3
건대입구,구의,3
구의,강변,2
강변,잠실나루,3
잠실나루,잠실,2
잠실,잠실새내,2
잠실새내,종합운동장,2
종합운동장,삼성,2
삼성,선릉,2
선릉,역삼,3
역삼,강남,2
강남,교대,2
교대,서초,2
서초,방배,3
방배,사당,3
사당,낙성대,3
낙성대,서울대입구,2
서울대입구,봉천,2
봉천,신림,2
신림,신대방,3
신대방,구로디지털단지,2
구로디지털단지,대림,2
대림,신도림,3
신도림,도림천,2
도림천,양천구청,3
양천구청,신정네거리,4
신정네거리,까치산,3
신도립,문래,3
문래,영등포구청,2
영등포구청,당산,2
당산,합정,3
합정,홍대입구,2
홍대입구,신촌,3
신촌,이대,2
이대,아현,2
아현,충정로,2
충정로,시청,2
방화,개화산,2
개화산,김포공항,2
김포공항,송정,2
송정,마곡,2
마곡,발산,2
발산,우장산,2
우장산,화곡,2
화곡,까치산,2
까치산,신정,2
신정,목동,2
목동,오목교,2
오목교,양평,2
양평,영등포구청,2
영등포구청,영등포시장,2
영등포시장,신길,2
신길,여의도,2
여의도,여의나루,2
여의나루,마포,3
마포,공덕,2
공덕,애오개,2
애오개,충정로,2
충정로,서대문,2
서대문,광화문,2
광화문,종로3가,2
종로3가,을지로4가,2
을지로4가,동대문역사문화공원,2
동대문역사문화공원,청구,2
청구,신금호,2
신금호,행당,2
행당,왕십리,2
왕십리,마장,2
마장,답십리,2
답십리,장한평,2
장한평,군자,2
군자,아차산,2
아차산,광나루,2
광나루,천호,3
천호,강동,2
강동,길동,2
길동,굽은다리,2
굽은다리,명일,2
명일,고덕,2
고덕,상일동,2
상일동,강일,2
강일,미사,2
미사,하남풍산,3
하남풍산,하남시청,2
하남시청,하남검단산,3
강동,둔촌동,2
둔촌동,올림픽공원,2
올림픽공원,방이,2
방이,오금,2
오금,개롱,2
개롱,거여,2
거여,마천,2
당고개,상계,2
상계,노원,2
노원,창동,3
창동,쌍문,2
쌍문,수유,3
수유,미아,2
미아,미아사거리,3
미아사거리,길음,2
길음,성신여대입구,3
성신여대입구,한성대입구,2
한성대입구,혜화,2
혜화,동대문,3
동대문,동대문역사문화공원,2
동대문역사문화공원,충무로,3
충무로,명동,2
명동,회현,2
회현,서울역,2
서울역,숙대입구,2
숙대입구,삼각지,2
삼각지,신용산,2
신용산,이촌,2
이촌,동작,4
동작,총신대입구,3
총신대입구,사당,2
