"adm_nm","adm_cd","node_id","node_no"
 광주시,"31250",234000446,"10"
 광주시,"31250",234000448,"28-1"
 광주시,"31250",234000470,"21"
 광주시,"31250",234000495,"947A"
 광주시,"31250",234000505,"15-1"
 광주시,"31250",234000512,"25-8"
 광주시,"31250",234000514,"29-5"
 광주시,"31250",234000517,"29-6"
 광주시,"31250",234000519,"29-7"
 광주시,"31250",234000521,"29-8"
 광주시,"31250",234000530,"25-4"
 광주시,"31250",234000531,"25-41"
 광주시,"31250",234000533,"25-5"
 광주시,"31250",234000538,"27"
 광주시,"31250",234000540,"27-1"
 광주시,"31250",234000542,"27-2"
 광주시,"31250",234000544,"27-3"
 광주시,"31250",234000545,"27-31"
 광주시,"31250",234000547,"27-4"
 광주시,"31250",234000553,"35-1"
 광주시,"31250",234000556,"35-3"
 광주시,"31250",234000586,"35-5"
 광주시,"31250",234000586,"35-5"
 광주시,"31250",234000798,"38-2"
 광주시,"31250",234000805,"38"
 광주시,"31250",234000813,"35-6"
 광주시,"31250",234000824,"34-1"
 광주시,"31250",234000829,"33-2"
 광주시,"31250",234000849,"17-1"
 광주시,"31250",234000850,"31-2"
 광주시,"31250",234000860,"988-3"
 광주시,"31250",234000861,"988-2"
 광주시,"31250",234000862,"989-3"
 광주시,"31250",234000875,M4101
 광주시,"31250",234000901,"38-8"
 광주시,"31250",234000929,"35-32"
 광주시,"31250",234000956,"38-51"
 광주시,"31250",234000960,"1-21"
 광주시,"31250",234000995,M4403
 광주시,"31250",234000996,"39-1"
 광주시,"31250",234000997,"114-1"
 광주시,"31250",234000998,"36-7"
 광주시,"31250",234001001,"39-6"
 광주시,"31250",234001003,"37-2"
 광주시,"31250",234001007,"37-3"
 광주시,"31250",234001008,"37-32"
 광주시,"31250",234001009,"39-4"
 광주시,"31250",234001010,"36-9"
 광주시,"31250",234001011,"36-6"
 광주시,"31250",234001012,"39-5"
 광주시,"31250",234001013,"39-7"
 광주시,"31250",234001014,"36-10"
 광주시,"31250",234001015,"38-22"
 광주시,"31250",234001016,"38-23"
 광주시,"31250",234001017,"38-21"
 광주시,"31250",234001018,"38-1"
 광주시,"31250",234001019,"38-12"
 광주시,"31250",234001021,"38-42"
 광주시,"31250",234001022,"38-81"
 광주시,"31250",234001023,"38-82"
 광주시,"31250",234001025,"35-35"
 광주시,"31250",234001027,"38-14"
 광주시,"31250",234001028,"35-2"
 광주시,"31250",234001029,"35-21"
 광주시,"31250",234001030,"35"
 광주시,"31250",234001034,"35-36"
 광주시,"31250",234001040,"34"
 광주시,"31250",234001042,"36-5"
 광주시,"31250",234001043,"36-51"
 광주시,"31250",234001044,"37-31"
 광주시,"31250",234001046,"945"
 광주시,"31250",234001047,"946"
 광주시,"31250",234001051,"34-13"
 광주시,"31250",234001056,"39-2"
 광주시,"31250",234001057,"39-8"
 광주시,"31250",234001059,"36-8"
 광주시,"31250",234001102,"27-10"
 광주시,"31250",234001103,"27-11"
 광주시,"31250",234001104,"27-20"
 광주시,"31250",234001105,"27-21"
 광주시,"31250",234001106,"27-30"
 광주시,"31250",234001107,"27-40"
 광주시,"31250",234001108,"29-50"
 광주시,"31250",234001118,"33-5"
 광주시,"31250",234001122,"38-43"
 광주시,"31250",234001145,"35-4"
 광주시,"31250",234001146,"35-7"
 광주시,"31250",234001148,"35-27"
 광주시,"31250",234001149,"35-25"
 광주시,"31250",234001150,"35-26"
 광주시,"31250",234001153,"38-24"
 광주시,"31250",234001158,"34-12"
 광주시,"31250",234001159,M4102
 광주시,"31250",234001161,"39-11"
 광주시,"31250",234001166,"36-72"
 광주시,"31250",234001203,"1113-10"
 광주시,"31250",234001203,"1113-10"
 광주시,"31250",234001204,"1113-11"
 광주시,"31250",234001232,"9-1"
 광주시,"31250",234001236,"8109"
 광주시,"31250",234001239,"1-20"
 광주시,"31250",234001241,M7412
 광주시,"31250",234001243,M5107
 광주시,"31250",234001244,"9600"
 광주시,"31250",234001245,M4108
 광주시,"31250",234001247,"36-14"
 광주시,"31250",234001248,"36-13"
 광주시,"31250",234001249,"39-9"
 광주시,"31250",234001250,"39-10"
 광주시,"31250",234001252,"949"
 광주시,"31250",234001253,"38-83"
 광주시,"31250",234001254,"38-19"
 광주시,"31250",234001257,"522"
 광주시,"31250",234001274,"987-2"
 광주시,"31250",234001279,"35-20"
 광주시,"31250",234001282,"21-16"
 광주시,"31250",234001286,M5115
 광주시,"31250",234001291,"17-3"
 광주시,"31250",234001292,"911-1"
 광주시,"31250",234001293,"911-2"
 광주시,"31250",234001294,"912"
 광주시,"31250",234001296,"913"
 광주시,"31250",234001297,"915"
 광주시,"31250",234001299,"918-1"
 광주시,"31250",234001303,"930"
 광주시,"31250",234001304,"930-1"
 광주시,"31250",234001314,"916"
 광주시,"31250",234001315,"917"
 광주시,"31250",234001317,M5121
 광주시,"31250",234001318,M5422
 광주시,"31250",234001371,"995"
 광주시,"31250",234001373,"935"
 광주시,"31250",234001375,"924"
 광주시,"31250",234001379,"952-1"
 광주시,"31250",234001380,"924-1"
 광주시,"31250",234001387,"952-2"
 광주시,"31250",234001388,"952-3"
 광주시,"31250",234001390,"930-2"
 광주시,"31250",234001396,"974"
 광주시,"31250",234001397,"974-1"
 광주시,"31250",234001400,"963-1"
 광주시,"31250",234001402,"918-2"
 광주시,"31250",234001403,"961-1"
 광주시,"31250",234001405,"981-2"
 광주시,"31250",234001408,"929-2"
 광주시,"31250",234001409,"929-3"
 광주시,"31250",234001410,"925"
 광주시,"31250",234001411,"924-2"
 광주시,"31250",234001412,"925-1"
 광주시,"31250",234001413,"915-2"
 광주시,"31250",234001414,"915-1"
 광주시,"31250",234001415,"33-4"
 광주시,"31250",234001417,"913-2"
 광주시,"31250",234001418,"913-3"
 광주시,"31250",234001431,"988-4"
 광주시,"31250",234001434,"989-5"
 광주시,"31250",234001441,"983-1"
 광주시,"31250",234001442,"981-3"
 광주시,"31250",234001443,"987-3"
 광주시,"31250",234001446,"912-2"
 광주시,"31250",234001476,M2323
 광주시,"31250",234001479,"911-5"
 광주시,"31250",234001484,"938-1"
 광주시,"31250",234001485,"971"
 광주시,"31250",234001486,"971-1"
 광주시,"31250",234001487,"971-2"
 광주시,"31250",234001488,"972-2"
 광주시,"31250",234001489,"972-3"
 광주시,"31250",234001490,"972-4"
 광주시,"31250",234001493,"954"
 광주시,"31250",234001495,"953-2"
 광주시,"31250",234001497,"955-1"
 광주시,"31250",234001499,"953-3"
 광주시,"31250",234001500,"961-2"
 광주시,"31250",234001504,"966-1"
 광주시,"31250",234001507,"915-3"
 광주시,"31250",234001509,"35-17"
 광주시,"31250",234001510,"33-7"
 광주시,"31250",234001515,"971-3"
 광주시,"31250",234001516,"1113-2"
 광주시,"31250",234001522,"38-84"
 광주시,"31250",234001524,"34-16"
 광주시,"31250",234001526,"32-2"
 광주시,"31250",234001540,"912-5"
 광주시,"31250",234001542,"930-4A"
 광주시,"31250",234001543,"930-4B"
 광주시,"31250",234001544,"930-4"
 광주시,"31250",234001545,"930-8"
 광주시,"31250",234001548,"981-5"
 광주시,"31250",234001550,"950-3"
 광주시,"31250",234001551,"950B"
 광주시,"31250",234001553,"981-4"
 광주시,"31250",234001557,"918-7"
 광주시,"31250",234001559,"24-47"
 광주시,"31250",234001560,"912-4"
 광주시,"31250",234001564,"38-10"
 광주시,"31250",234001565,"1-13"
