bus_route_id,bus_route_nm,seq,st_id,ars_id,st_nm,gps_x,gps_y,pos_x,pos_y,dist_next_st,time_next_st,trn_st_id,city_nm
104000007,01A,38,100000122,01218,현대그룹빌딩,127.0005178806,37.5759190979,,,,,,서울
104000007,01A,39,100000129,01225,이화동(이화장),127.0032823109,37.5760347544,,,,,,서울
104000007,01A,40,100000119,01215,충신동,127.006331,37.574106,,,,,,서울
104000007,01A,41,100000118,01214,동대문,127.0085128985,37.5717853606,,,,,,서울
104000007,01A,42,101000074,02173,동대문역사문화공원,127.0084231234,37.5673199726,,,,,,서울
104000007,01A,43,101000073,02172,을지로6가.국립중앙의료원,127.0058282626,37.5664064222,,,,,,서울
104000007,01A,44,101000066,02165,을지로5가,126.9992630956,37.566755096,,,,,,서울
104000007,01A,45,101000063,02162,을지로4가,126.9962218644,37.5666038467,,,,,,서울
104000007,01A,46,101000061,02160,을지로3가,126.990379454,37.566313373,,,,,,서울
104000007,01A,47,101000059,02158,을지로2가.기업은행본점.서울노동청,126.9865270687,37.5661750187,,,,,,서울
104000007,01A,48,101000041,02140,롯데백화점,126.9821793435,37.5644712444,,,,,,서울
104000007,01A,49,101000032,02127,북창동.남대문시장,126.9779334764,37.5610812855,,,,,,서울
104000007,01A,50,101000329,02099,숭례문(가상),126.9744890187,37.5597629406,,,,,,서울
104000007,01A,51,101000004,02004,서울역버스환승센터,126.9725522061,37.5554776389,,,,,,서울
104000008,01B,1,101000006,02006,서울역버스환승센터,126.9727726582,37.5554752628,,,,,,서울
104000008,01B,2,101000027,02122,숭례문,126.9740061243,37.5585974617,,,,,,서울
104000008,01B,3,101000114,02219,남대문시장앞.이회영활동터,126.9762193,37.56037765,,,,,,서울
104000008,01B,4,101000043,02142,롯데영프라자,126.9819217706,37.5630081328,,,,,,서울
104000008,01B,5,101000057,02156,을지로입구.로얄호텔,126.9853753406,37.5659870189,,,,,,서울
104000008,01B,6,101000060,02159,을지로2가.파인에비뉴,126.9888222236,37.5661216045,,,,,,서울
104000008,01B,7,101000062,02161,을지로3가,126.9913175282,37.5662336334,,,,,,서울
104000008,01B,8,101000064,02163,을지로4가.베스트웨스턴국도,126.9968402973,37.5664971393,,,,,,서울
104000008,01B,9,101000067,02166,을지로5가.중부시장,127.0011069759,37.5667239207,,,,,,서울
104000008,01B,10,101000070,02169,을지로6가.국립중앙의료원,127.0064075366,37.5661794747,,,,,,서울
104000008,01B,11,101000075,02174,동대문역사문화공원,127.0089802242,37.5676255678,,,,,,서울
104000008,01B,12,100000121,01217,충신동,127.0062426155,37.5744023584,,,,,,서울
104000008,01B,13,100000179,01277,이화동(이화장),127.0029997189,37.5761871952,,,,,,서울
104000008,01B,14,100000127,01223,이화동(이화장),127.0007063654,37.5760580629,,,,,,서울
104000008,01B,15,100000076,01172,창덕궁.서울돈화문국악당,126.9886004441,37.5774213234,,,,,,서울
104000008,01B,16,100000036,01131,안국역.종로경찰서.인사동,126.984096286,37.5759711778,,,,,,서울
104000008,01B,17,100000035,01130,덕성여중고,126.9819731191,37.5757394332,,,,,,서울
104000008,01B,18,100000019,01114,사직동주민센터,126.971317861,37.5760900645,,,,,,서울
104000008,01B,19,100000018,01113,사직단.어린이도서관,126.9680206454,37.5751125217,,,,,,서울
104000008,01B,20,100000363,13036,영천시장,126.9624984656,37.5699164515,,,,,,서울
104000008,01B,21,112000403,13038,서대문역,126.965829288,37.5664740964,,,,,,서울
104000008,01B,22,112000399,13039,경찰청.동북아역사재단,126.9691796639,37.5624553919,,,,,,서울
104000008,01B,23,101000006,02006,서울역버스환승센터,126.9727726582,37.5554752628,,,,,,서울
104000008,01B,24,101000027,02122,숭례문,126.9740061243,37.5585974617,,,,,,서울
104000008,01B,25,101000114,02219,남대문시장앞.이회영활동터,126.9762193,37.56037765,,,,,,서울
104000008,01B,26,101000043,02142,롯데영프라자,126.9819217706,37.5630081328,,,,,,서울
104000008,01B,27,101000057,02156,을지로입구.로얄호텔,126.9853753406,37.5659870189,,,,,,서울
104000008,01B,28,101000060,02159,을지로2가.파인에비뉴,126.9888222236,37.5661216045,,,,,,서울
104000008,01B,29,101000062,02161,을지로3가,126.9913175282,37.5662336334,,,,,,서울
104000008,01B,30,101000064,02163,을지로4가.베스트웨스턴국도,126.9968402973,37.5664971393,,,,,,서울
104000008,01B,31,101000067,02166,을지로5가.중부시장,127.0011069759,37.5667239207,,,,,,서울
104000008,01B,32,101000070,02169,을지로6가.국립중앙의료원,127.0064075366,37.5661794747,,,,,,서울
104000008,01B,33,101000075,02174,동대문역사문화공원,127.0089802242,37.5676255678,,,,,,서울
104000008,01B,34,100000121,01217,충신동,127.0062426155,37.5744023584,,,,,,서울
104000008,01B,35,100000179,01277,이화동(이화장),127.0029997189,37.5761871952,,,,,,서울
104000008,01B,36,100000127,01223,이화동(이화장),127.0007063654,37.5760580629,,,,,,서울
104000008,01B,37,100000076,01172,창덕궁.서울돈화문국악당,126.9886004441,37.5774213234,,,,,,서울
104000008,01B,38,100000036,01131,안국역.종로경찰서.인사동,126.984096286,37.5759711778,,,,,,서울
104000008,01B,39,100000035,01130,덕성여중고,126.9819731191,37.5757394332,,,,,,서울
104000008,01B,40,100000019,01114,사직동주민센터,126.971317861,37.5760900645,,,,,,서울
104000008,01B,41,100000018,01113,사직단.어린이도서관,126.9680206454,37.5751125217,,,,,,서울
104000008,01B,42,100000363,13036,영천시장,126.9624984656,37.5699164515,,,,,,서울
104000008,01B,43,112000403,13038,서대문역,126.965829288,37.5664740964,,,,,,서울
104000008,01B,44,112000399,13039,경찰청.동북아역사재단,126.9691796639,37.5624553919,,,,,,서울
104000008,01B,45,101000004,02004,서울역버스환승센터,126.9725522061,37.5554776389,,,,,,서울
100100001,02,1,102000226,03320,남산서울타워,126.9904431246,37.5511572043,,,,,,서울
100100001,02,2,102000316,03347,남산도서관,126.981814,37.552265,,,,,,서울
100100001,02,3,101000160,02269,교육연구정보원,126.980237787,37.5545553981,,,,,,서울
100100001,02,4,101000115,02220,남산케이블카.남산산책로입구,126.9838858506,37.5552850097,,,,,,서울
100100001,02,5,101000116,02221,숭의여대,126.9874059964,37.5586203825,,,,,,서울
100100001,02,6,101000053,02152,퇴계로3가.한옥마을.한국의집,126.992490506,37.5609899926,,,,,,서울
100100001,02,7,101000054,02153,충무로역2번출구.대한극장앞,126.9948830406,37.5613196823,,,,,,서울
100100001,02,8,101000103,02207,퇴계로5가.제일병원,126.9999300049,37.5624801112,,,,,,서울
100100001,02,9,101000293,02288,장충문화체육센터.권기옥활동터,127.0027220126,37.5601814056,,,,,,서울
100100001,02,10,101000117,02222,동대입구역.장충동,127.0054329618,37.5581192384,,,,,,서울
