외부코드,전철명명(영문),전철역명,전철역코드,호선,출발지전철역,도착지전철역,역간소요분,
A02,Gongdeok,공덕,4202,공항철도,공덕,홍대입구,4,
A03,Hongik Univ.,홍대입구,4203,공항철도,홍대입구,디지털미디어시티,4,
A04,Digital Media City,디지털미디어시티,4204,공항철도,디지털미디어시티,마곡나루,7,
A042,Magongnaru,마곡나루,4206,공항철도,마곡나루,김포공항,3,
A05,Gimpo Intl. Airport,김포공항,4207,공항철도,김포공항,계양,7,
A06,Gyeyang,계양,4208,공항철도,계양,검암,6,
A07,Geomam,검암,4209,공항철도,검암,청라국제도시,4,
A071,Cheongna Int’l City Station,청라국제도시,4210,공항철도,청라국제도시,운서,9,
A08,Unseo,운서,4211,공항철도,운서,공항화물청사,4,
A09,Incheon Intl. Airport Cargo Terminal,공항화물청사,4212,공항철도,공항화물청사,인천공항1터미널,4,
A10,Incheon Intl. Airport,인천공항1터미널,4213,공항철도,인천공항1터미널,인천공항2터미널,6,
SES3801,Incheon Intl. Airport,인천공항1터미널,39263,인천공항자기부상철도,인천공항1터미널,장기주차장,1,
SES3802,Long Term Parking,장기주차장,39264,인천공항자기부상철도,장기주차장,합동청사,1,
SES3803,Administration Complex,합동청사,39265,인천공항자기부상철도,합동청사,파라다이스시티,1,
SES3804,Paradise City,파라다이스시티,39266,인천공항자기부상철도,파라다이스시티,워터파크,3,
SES3805,Water Park,워터파크,39267,인천공항자기부상철도,워터파크,용유,3,
K209,Cheongnyangni,청량리,1845,수인분당선,청량리,왕십리,5,
K210,Wangsimni,왕십리,1846,수인분당선,왕십리,서울숲,3,
K211,Seoul-forest,서울숲,1847,수인분당선,서울숲,압구정로데오,3,
K212,Apgujeongrodeo,압구정로데오,1848,수인분당선,압구정로데오,강남구청,3,
K213,Gangnam-gu Office,강남구청,1849,수인분당선,강남구청,선정릉,2,
K214,Seonjeongneung,선정릉,1850,수인분당선,선정릉,선릉,2,
K215,Seolleung,선릉,1023,수인분당선,선릉,한티,2,
K216,Hanti,한티,1024,수인분당선,한티,도곡,2,
K217,Dogok,도곡,1025,수인분당선,도곡,구룡,2,
K218,Guryong,구룡,1026,수인분당선,구룡,개포동,2,
K219,Gaepo-dong,개포동,1027,수인분당선,개포동,대모산입구,6,
K220,Deamosan Ipgu,대모산입구,1027,수인분당선,대모산입구,수서,6,
K221,Suseo,수서,1030,수인분당선,수서,복정,4,
K222,Bokjeong,복정,1031,수인분당선,복정,가천대,3,
K223,Gachon Univ.,가천대,1851,수인분당선,가천대,태평,2,
K224,Taepyeong,태평,1852,수인분당선,태평,모란,2,
K225,Moran,모란,1853,수인분당선,모란,야탑,3,
K226,Yatap,야탑,1854,수인분당선,야탑,이매,3,
K227,Imae,이매,1860,수인분당선,이매,서현,2,
K228,Seohyeon,서현,1855,수인분당선,서현,수내,2,
K229,Sunae,수내,1856,수인분당선,수내,정자,3,
