I110,인천1호선,I2801,계양,공항철도,k0211,환승,126.736319,37.571539,인천교통공사,17422,11,3,301,30124,계양
541,5호선,S1105,고덕,N,N,일반,127.1540785,37.55503473,서울교통공사,1279,11,1,105,10543,고덕
639,6호선,S1106,고려대,N,N,일반,127.0358642,37.59033908,서울교통공사,1294,11,1,106,10608,고려대
K230,수인분당선,k0304,정자,신분당,I1102,환승,127.108091,37.366037,한국철도공사,1366,11,2,201,20103,정자
339,3호선,S1103,고속터미널,7호선/9호선,S1107+S1109,환승,127.0049403,37.50436623,서울교통공사,1195,11,1,103,10330,고속터미널
725,7호선,S1107,고속터미널,3호선/9호선,S1103+S1109,환승,127.0049403,37.50436623,서울교통공사,17404,11,1,107,10744,고속터미널
932,9호선,S1109,고속터미널,3호선/7호선,S1103+S1107,환승,127.0049403,37.50436623,서울교통공사,21909,11,1,109,10903,고속터미널
451,4호선,k0302,고잔,수인분당선,k0304,환승,126.823094,37.316821,한국철도공사,1239,11,1,104,10443,고잔
K229,수인분당선,k0304,수내,N,N,일반,127.114216,37.378435,한국철도공사,1367,11,2,201,20104,수내
Y121,용인경전철,T4101,고진,N,N,일반,127.214168,37.244643,용인경량전철㈜,28581,11,13,1301,130112,고진
698,김포도시철도,L4101,고촌,N,N,일반,126.7703242,37.60121656,김포골드라인운영㈜,39880,11,17,1701,170109,고촌
K323,경의중앙선,k0212,곡산,N,N,일반,126.801877,37.645729,한국철도공사,23224,11,10,1001,100111,곡산
U122,의정부경전철,L4101,곤제,N,N,일반,127.083846,37.7505337,㈜우진메트로,31802,11,2,202,20212,곤제
K415,경강선,k0218,곤지암,N,N,일반,127.346186,37.350525,한국철도공사,39274,11,2,203,20306,곤지암
518,5호선,S1105,공덕,6호선/경의중앙선/공항철도,S1106+k0212+k0211,환승,126.9513584,37.54412449,서울교통공사,1261,11,1,105,10520,공덕
626,6호선,S1106,공덕,5호선/경의중앙선/공항철도,S1105+k0212+k0211,환승,126.952134,37.542611,한국철도공사,17393,11,1,106,10639,공덕
K312,경의중앙선,k0212,공덕,5호선/6호선/공항철도,S1105+S1106+k0211,환승,126.952134,37.542611,한국철도공사,32129,11,9,901,90110,공덕
A02,공항철도,k0211,공덕,5호선/6호선/경의중앙선,S1105+S1106+k0212,환승,126.952134,37.542611,한국철도공사,33136,11,10,1001,100123,공덕
707,7호선,S1107,공릉,N,N,일반,127.0728236,37.62551321,서울교통공사,1322,11,1,107,10708,공릉
912,9호선,S1109,공항시장,N,N,일반,126.810678,37.563726,,21910,11,1,109,10904,공항시장
A11,공항철도,k0211,공항화물청사,N,N,일반,126.4753183,37.4590682,공항철도,17435,11,9,901,90103,공항화물청사
438,4호선,S1104,과천,N,N,일반,126.996404,37.433205,한국철도공사,1227,11,1,104,10430,과천
146,1호선,S1101,관악,N,N,일반,126.908476,37.419578,한국철도공사,1089,11,1,101,10164,관악
D19,신분당선,I1102,광교,N,N,일반,127.0602257,37.2968115,네오트렌스,36654,11,11,1101,110112,광교
D18,신분당선,I1102,광교중앙,N,N,일반,127.0602257,37.2968121,네오트렌스,36653,11,11,1101,110111,광교중앙
535,5호선,S1105,광나루,N,N,일반,127.1035121,37.5450481,서울교통공사,1273,11,1,105,10537,광나루
144-1,1호선,S1101,광명,N,N,일반,126.884523,37.415995,한국철도공사,1121,11,1,101,10196,광명
739,7호선,S1107,광명사거리,N,N,일반,126.8547278,37.47941898,서울교통공사,1347,11,1,107,10740,광명사거리
119,1호선,S1101,광운대,경춘선,k0210,환승,127.061975,37.623635,한국철도공사,1043,11,1,101,10111,광운대
