"ars_id","st_id","st_nm","gps_x","gps_y","pos_x","pos_y","trans_yn","area_nm","route_ids","route_nms"
"04121","103000022",도선사거리,"127.0369085253","37.566824233","203260.323411665","451926.5810580808",N,서울,"100100015|100100020|100100024|100100027|100100190|100100199|100100409","110B국민대|141|145|148|2015|2222|421"
"04122","103000023",도선사거리,"127.0364339991","37.5663972626","203218.42439551506","451879.1810556967",N,서울,"100100016|100100020|100100024|100100027|100100190|100100199|100100409","110A고려대|141|145|148|2015|2222|421"
"04123","103000024",마장동금호아파트,"127.041859032","37.5630713327","203697.81313165667","451510.28100506123",N,서울,"100100583|100100188","121|2013"
"04124","103000025",마장동금호아파트,"127.0415811922","37.5621577226","203673.31371188493","451408.8810007614",N,서울,"100100583|100100188","121|2013"
"04125","103000026",한양대부속고등학교,"127.0415908002","37.5611151543","203674.21369032213","451293.1809769743",N,서울,"100100583|100100188","121|2013"
"04126","103000027",한양대부속고등학교,"127.0411546041","37.5603881249","203635.7145901179","451212.4809750784",N,서울,"100100583|100100188","121|2013"
"04127","103000028",한양대앞.한양시장,"127.0409668475","37.5585823987","203619.21498261855","451012.0809430983",N,서울,"100100583|100100188|100100604","121|2013|4211"
"04128","103000029",한양대앞,"127.0407224229","37.5587032298","203597.61548759037","451025.4809442968",N,서울,"100100188|100100604","2013|4211"
"04129","103000030",한양대정문,"127.0431286432","37.5563883665","203810.31049393257","450768.6809168556",N,서울,"100100583|100100186|100100189|100100522|100100199|100100052|100100588","121|2012|2014|2016|2222|302|N62"
"04130","103000031",한양대정문앞,"127.0433201513","37.5567730635","203827.21009284555","450811.3809203943",N,서울,"100100583|100100186|100100189|100100522|100100199|100100052|100100588","121|2012|2014|2016|2222|302|N62"
"04131","103000032",무학여고앞,"127.0342430998","37.558006939","203025.2289285369","450947.9809256261",N,서울,"100100015|100100020|100100024|100100027|100100522|100100409|100100604|100100605","110B국민대|141|145|148|2016|421|4211|463"
"04132","103000033",무학여고,"127.0338672615","37.5578953118","202992.02971201838","450935.5809271042",N,서울,"100100016|100100020|100100024|100100027|100100522|100100595|100100409|100100604|100100605","110A고려대|141|145|148|2016|241|421|4211|463"
"04133","103000034",왕십리역,"127.0361920228","37.5599473134","203197.32488751263","451163.3809580817",N,서울,"100100186|100100188|100100189|100100522|100100199|100100052|100100588","2012|2013|2014|2016|2222|302|N62"
"04134","103000035",왕십리역,"127.0362669183","37.5603365628","203203.9247393584","451206.5809650803",N,서울,"100100186|100100188|100100189|100100199|100100052|100100588","2012|2013|2014|2222|302|N62"
"04135","103000036",왕십리역,"127.0348748604","37.5607902321","203080.92762181463","451256.88096511643",N,서울,"100100522|100100604|100100605","2016|4211|463"
"04136","103000037",행당1동주민센터.성동소방서,"127.0386269888","37.5581524645","203412.51983160223","450964.2809288134",N,서울,"100100186|100100188|100100189|100100522|100100199|100100052|100100588","2012|2013|2014|2016|2222|302|N62"
"04137","103000038",서울숲삼부아파트,"127.0379492742","37.5587230766","203352.6212409828","451027.5809391374",N,서울,"100100186|100100188|100100189|100100522|100100199|100100052|100100588","2012|2013|2014|2016|2222|302|N62"
"04138","103000039",응봉동주민센터,"127.0335007802","37.5533989566","202959.8304733906","450436.5808626865",N,서울,"100100015|100100522|100100595|100100409|100100604","110B국민대|2016|241|421|4211"
"04139","103000040",응봉동주민센터,"127.0334386918","37.5537612141","202954.33059461345","450476.78086012974",N,서울,"100100016|100100522|100100595|100100409|100100604","110A고려대|2016|241|421|4211"
"04140","103000041",응봉사거리,"127.0344580408","37.5552918803","203044.32848839567","450646.6808871706",N,서울,"100100015|100100020|100100024|100100027|100100522|100100595|100100409|100100604|100100605","110B국민대|141|145|148|2016|241|421|4211|463"
