NODE_ID,NODE_REAL_ID,NODE_NM,GPS_LATI,GPS_LONG,COLLECTD_TIME,NODE_MOBILE_ID,CITY_CODE,CITY_ABB,CITY_NAME
SEB118000555,118000555,양화한강공원(가상),37.5370043,126.9040029,2020-09-24 7:32,19910,11,SEB,서울특별시
SEB168000382,168000382,단봉초등학교,37.5949301,126.6371077,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000616,168000616,LG아파트후문,37.5921551,126.696212,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000127,168000127,범양아파트(종점),37.4922964,126.6887535,2020-09-24 7:32,42127,11,SEB,서울특별시
SEB168000069,168000069,가좌초등학교,37.4873077,126.6840423,2020-09-24 7:32,42069,11,SEB,서울특별시
SEB168000882,168000882,건지사거리,37.4937996,126.6834871,2020-09-24 7:32,0,11,SEB,서울특별시
SEB166000515,166000515,청천푸르지오아파트,37.5108965,126.7087368,2020-09-24 7:32,0,11,SEB,서울특별시
SEB166000468,166000468,부평경찰서,37.5049455,126.7177082,2020-09-24 7:32,0,11,SEB,서울특별시
SEB166000779,166000779,산곡동입구,37.5024657,126.702284,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000883,168000883,건지사거리,37.4938887,126.6832795,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000061,168000061,가좌고등학교,37.4874343,126.6792678,2020-09-24 7:32,42061,11,SEB,서울특별시
SEB210000061,210000061,사랑마을벽산.선경.삼익아파트,37.4960917,126.7560406,2020-09-24 7:32,0,11,SEB,서울특별시
SEB210000218,210000218,계룡리슈빌,37.5036156,126.7699156,2020-09-24 7:32,0,11,SEB,서울특별시
SEB212000396,212000396,약대사거리,37.5157084,126.775444,2020-09-24 7:32,0,11,SEB,서울특별시
SEB164000305,164000305,선학역,37.4246786,126.6979821,2020-09-24 7:32,0,11,SEB,서울특별시
SEB164000554,164000554,송도힐스테이트6단지,37.3912003,126.6461726,2020-09-24 7:32,38554,11,SEB,서울특별시
SEB164000487,164000487,더샵하버뷰,37.3929967,126.6436016,2020-09-24 7:32,38487,11,SEB,서울특별시
SEB165000574,165000574,논현중학교,37.4075527,126.7342215,2020-09-24 7:32,0,11,SEB,서울특별시
SEB164000033,164000033,송도풍림아이원1단지,37.3918043,126.6528624,2020-09-24 7:32,0,11,SEB,서울특별시
SEB165000489,165000489,부평삼거리,37.4735302,126.70915,2020-09-24 7:32,0,11,SEB,서울특별시
SEB166000361,166000361,부평시장역,37.4966695,126.7211292,2020-09-24 7:32,0,11,SEB,서울특별시
SEB166000181,166000181,부원중학교,37.4884413,126.7164896,2020-09-24 7:32,0,11,SEB,서울특별시
SEB167000390,167000390,롯데마트,37.5371307,126.735934,2020-09-24 7:32,0,11,SEB,서울특별시
SEB166000810,166000810,태화아파트,37.5200218,126.7273333,2020-09-24 7:32,0,11,SEB,서울특별시
SEB167000391,167000391,롯데마트,37.5372371,126.7366062,2020-09-24 7:32,0,11,SEB,서울특별시
SEB166000483,166000483,인천미래생활고등학교,37.4983333,126.7426382,2020-09-24 7:32,40483,11,SEB,서울특별시
SEB165000292,165000292,인천시청후문,37.4541013,126.7039912,2020-09-24 7:32,0,11,SEB,서울특별시
SEB163000370,163000370,석바위,37.4552997,126.6877383,2020-09-24 7:32,0,11,SEB,서울특별시
SEB165000385,165000385,만수역,37.4520927,126.7306969,2020-09-24 7:32,0,11,SEB,서울특별시
SEB121000929,121000929,교대역,37.4940833,127.0157243,2020-09-24 7:32,22825,11,SEB,서울특별시
SEB164000336,164000336,원흥아파트,37.4219872,126.6439565,2020-09-24 7:32,0,11,SEB,서울특별시
SEB163000494,163000494,신동아3차아파트,37.436664,126.6731397,2020-09-24 7:32,0,11,SEB,서울특별시
SEB165001005,165001005,남동IC(미정차),37.4308466,126.7110513,2020-09-24 7:32,92005,11,SEB,서울특별시
SEB163000120,163000120,신동아3차아파트,37.4379726,126.6776132,2020-09-24 7:32,0,11,SEB,서울특별시
SEB163000066,163000066,인하대역(1번출구),37.4451847,126.6491928,2020-09-24 7:32,0,11,SEB,서울특별시
SEB166000233,166000233,구산사거리,37.4810613,126.7511141,2020-09-24 7:32,0,11,SEB,서울특별시
SEB167000108,167000108,광명아파트,37.5263627,126.7328506,2020-09-24 7:32,0,11,SEB,서울특별시
SEB232000359,232000359,풍무역,37.612022,126.7329865,2020-09-24 7:32,41053,11,SEB,서울특별시
SEB232000356,232000356,고촌역,37.6004371,126.7708095,2020-09-24 7:32,41004,11,SEB,서울특별시
SEB164000353,164000353,웰카운티,37.3771641,126.646817,2020-09-24 7:32,0,11,SEB,서울특별시
SEB164000021,164000021,먼우금초등학교,37.3900703,126.6519731,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168001060,168001060,검단오류역,37.5918995,126.6270651,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000610,168000610,대림아파트,37.5979981,126.6538215,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000353,168000353,검암경서동행정복지센터,37.5612846,126.6724165,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000351,168000351,삼보아파트,37.5594623,126.6723572,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000315,168000315,중앙아파트,37.5480648,126.6726776,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000290,168000290,심곡초등학교(국제성모병원),37.5405859,126.6811326,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000306,168000306,대동아파트,37.5426618,126.6811901,2020-09-24 7:32,0,11,SEB,서울특별시
SEB167000130,167000130,한림병원,37.5296352,126.7329119,2020-09-24 7:32,0,11,SEB,서울특별시
SEB167000066,167000066,한신아파트,37.5252939,126.7269655,2020-09-24 7:32,41066,11,SEB,서울특별시
SEB168000401,168000401,검단원흥아파트,37.5966887,126.6506949,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000849,168000849,자이금호힐스테이트,37.5946766,126.6399516,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168001067,168001067,금오동,37.5937591,126.6317034,2020-09-24 7:32,0,11,SEB,서울특별시
SEB164000062,164000062,한양아파트2차,37.4023794,126.6747597,2020-09-24 7:32,0,11,SEB,서울특별시
SEB164000039,164000039,동막역(1번출구),37.3957306,126.6729537,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168001291,168001291,호수공원음악분수,37.5268477,126.6266445,2020-09-24 7:32,89291,11,SEB,서울특별시
SEB168001023,168001023,로봇랜드입구,37.5260567,126.621527,2020-09-24 7:32,0,11,SEB,서울특별시
SEB164000480,164000480,더샵엑스포빌리지,37.398506,126.6428105,2020-09-24 7:32,0,11,SEB,서울특별시
SEB164000522,164000522,푸르지오하버뷰,37.3937873,126.6393918,2020-09-24 7:32,0,11,SEB,서울특별시
SEB169000177,169000177,안양대학교,37.7056639,126.4477613,2020-09-24 7:32,0,11,SEB,서울특별시
SEB169000105,169000105,화도터미널,37.6306498,126.41761,2020-09-24 7:32,0,11,SEB,서울특별시
SEB232000704,232000704,한가람마을우미린.호수이편한세,37.6495238,126.6273266,2020-09-24 7:32,35641,11,SEB,서울특별시
SEB232000318,232000318,청송2.3단지,37.6482382,126.6671872,2020-09-24 7:32,0,11,SEB,서울특별시
SEB115000602,115000602,김포공항국내선,37.5597057,126.803085,2020-09-24 7:32,16781,11,SEB,서울특별시
SEB236000859,236000859,산정호수.하동주차장,38.0655142,127.3155955,2020-09-24 7:32,41540,11,SEB,서울특별시
SEB236000099,236000099,2교다리.연대본부,38.0712007,127.3024747,2020-09-24 7:32,41511,11,SEB,서울특별시
SEB236000096,236000096,운천5리부대앞,38.0772358,127.2813128,2020-09-24 7:32,41488,11,SEB,서울특별시
SEB236000056,236000056,야미리,38.0524609,127.2701911,2020-09-24 7:32,0,11,SEB,서울특별시
SEB236000880,236000880,영북중학교,38.092921,127.2736004,2020-09-24 7:32,41463,11,SEB,서울특별시
SEB236000174,236000174,포천동주민센터입구,37.8981742,127.1984075,2020-09-24 7:32,40249,11,SEB,서울특별시
SEB238000418,238000418,연천읍슈퍼,38.0935226,127.0734976,2020-09-24 7:32,0,11,SEB,서울특별시
SEB238000272,238000272,전곡시외버스터미널,38.0251463,127.0678156,2020-09-24 7:32,0,11,SEB,서울특별시
SEB238000271,238000271,전곡역앞.농협,38.0234162,127.0698884,2020-09-24 7:32,0,11,SEB,서울특별시
SEB215000073,215000073,하봉암동,37.9576468,127.0626109,2020-09-24 7:32,0,11,SEB,서울특별시
SEB238000258,238000258,초성3리마을입구,38.0019128,127.0676332,2020-09-24 7:32,0,11,SEB,서울특별시
SEB238000253,238000253,전곡시외버스터미널,38.0252342,127.067764,2020-09-24 7:32,0,11,SEB,서울특별시
SEB238000412,238000412,예비군훈련장입구,38.0547277,127.0686665,2020-09-24 7:32,0,11,SEB,서울특별시
SEB238000213,238000213,연천군청,38.0954202,127.0740623,2020-09-24 7:32,0,11,SEB,서울특별시
SEB238000248,238000248,연못골.동원훈련장,38.0136688,127.0987253,2020-09-24 7:32,0,11,SEB,서울특별시
SEB238000460,238000460,궁평초교,38.0275603,127.1083682,2020-09-24 7:32,0,11,SEB,서울특별시
SEB238000199,238000199,박석고개.백의1리,38.0217762,127.1249062,2020-09-24 7:32,0,11,SEB,서울특별시
SEB238000239,238000239,백의리,38.0233205,127.1358782,2020-09-24 7:32,0,11,SEB,서울특별시
SEB239000687,239000687,현리터미널,37.817906,127.348542,2020-09-24 7:32,0,11,SEB,서울특별시
SEB239000194,239000194,교육대앞,37.8109377,127.3518988,2020-09-24 7:32,0,11,SEB,서울특별시
